subID,Antisaccade,StopSignal,Stroop,KeepTrack,LetterMem,SNback,NumberLetter,ColorShape,CategorySwitch
1018,83.33333333,-234.3333333,-95.16315789,73.214,76.515,91.6667,-33.63131313,-110.6094595,6.520440252
1035,70.37036667,-245.3333333,-69.7354955,76.786,84.848,92.0139,-192.8242553,-117.7191176,-22.95238095
1037,62.96296667,-245.3333333,-123.995086,83.929,84.091,87.8472,-99.25925926,-144.4205856,-188.7537411
1040,70.3704,-236,-174.7426901,85.714,62.879,82.29165,-227.2807085,-125.3755556,-108.3076923
1043,52.7778,-273.3333333,-177.7467994,69.643,90.152,79.86115,-249.4362319,-90.01190476,-122.4644608
1044,62.96296667,-215.3333333,-150.652834,80.357,69.697,72.56945,-196.4555556,-285.5359435,-54.19327731
1047,49.07406667,-265.6666667,-299.7569677,62.5,60.606,67.01385,-465.0098039,-468.7678571,-133.6140792
1048,70.37036667,-223.6666667,-74.53280053,78.571,88.636,80.2083,-76.555,-78.37898936,-56.66807855
1501,67.5926,-276.6666667,-179.2408585,78.571,83.333,88.54165,-342.2630411,-478.7664007,-349.5018916
1502,81.48146667,-284,NA,76.786,64.394,85.41665,-513.1610418,-504.2536232,-246.0482732
1504,79.62963333,-257,-68.92747178,91.071,72.727,80.9028,-75.69484761,-297.0454545,-11.41509434
1505,80.55553333,-235,-117.497973,87.5,90.909,84.7222,-73.105,-118.8333333,-13.52806122
1507,50,-282.8333333,-262.232998,75,57.576,77.7778,-442.4113725,-70.39229249,-238.4920814
1509,34.25923333,-253.3333333,-137.6892574,76.786,83.333,80.9028,-125.0192308,-77.13250518,-84.88279221
1510,62.03706667,-248,-194.4477273,73.214,63.636,80.20835,-143.5873569,-312.4051383,-83.9918609
1511,65.74073333,-252.3333333,-166.266526,66.071,75.758,88.19445,-267.7711835,-607.1521739,-293.6232439
1515,62.96296667,-275.8333333,-144.0891813,62.5,59.848,74.30555,-152.3683215,-156.7034632,-206.9284615
1516,80.55553333,-241.6666667,-114.3936652,76.786,65.152,90.27775,-159.0961894,31.73369565,-121.1862745
1517,87.96296667,-242,-123.836678,73.214,88.636,93.05555,-193.462069,-199.0324215,-145.893617
1518,58.33333333,-276,-138.5866455,71.429,83.333,86.8056,-98.76836735,-143.741712,-342.5888779
1521,74.07406667,-265,-46.96547315,71.429,74.242,81.59725,-151.3788272,-217.595122,-57.14930233
1522,49.07406667,-264.3333333,-74.56217304,66.071,68.182,83.33335,-484.4404803,-616.7,-359.1659272
1525,56.4815,-293,-197.8702194,75,82.576,NA,-260.1819172,NA,-176.6211273
1526,66.66666667,-252.6666667,-62.6525641,87.5,100,93.05555,-241.5246154,-172.1365854,-261.9566667
1527,51.85183333,-249.3333333,-111.1025974,76.786,78.03,82.6389,-237.7183333,-49.9,-144.7056159
1529,82.40736667,-173,-178.374269,75,93.939,81.25,-479.6931244,-385,-91.55814751
1530,70.37036667,-253,-66.20446266,58.929,79.545,76.3889,-493.6972222,-501.0722222,-332.3272425
1532,66.66666667,-315.3333333,-61.92406015,76.786,90.152,77.43055,-159.7036164,-233.0319444,-112.4655172
1535,63.88886667,-227.6666667,-257.1573499,82.143,81.061,92.0139,-167.5913832,-49.14357937,-88.94147093
1536,71.29633333,-227.3333333,-213.1767857,75,70.455,85.7639,-162.8458532,-219.3466216,3.204081633
1537,72.22223333,-212.6666667,-135.8186275,76.786,63.636,69.0972,-119.6291038,-122.8547297,-2.79468599
1538,57.4074,-253.5,-84.29560202,75,85.606,77.77775,-95.1101752,-139.4355288,-48.5523291
1539,75.00003333,-230.8333333,-133.9665367,58.929,67.424,74.30555,-284.3456416,-214.2300725,-95.31309524
1540,61.1111,-257.3333333,-138.9213675,66.071,61.364,81.94445,-167.6021277,-124.6823596,-19.82579186
1541,60.18516667,-243.3333333,-123.8951639,76.786,95.455,89.93055,-96.55357143,-66.99285714,-66.17363222
1542,63.8889,-146.2380299,-130.5152941,78.571,72.727,70.4861,-116.6330612,-187.6441648,-124.0428571
1543,74.07403333,-259.1666667,-212.0292767,66.071,65.909,83.3333,-301.0863095,-524.4699612,-329.4385965
1544,54.62963333,-257,-247.4161469,73.214,86.364,76.0417,-140.6545086,-350.7535714,-326.1631987
1545,53.70373333,-238.3333333,-60.10833333,76.786,81.818,83.33335,-215.3772414,-296.2563776,-189.737462
1546,84.25926667,-242,-201.5235043,66.071,65.909,86.1111,-131.3863636,2.077674419,-29.66165023
1547,50.00003333,-259.5,-113.6847104,75,96.97,89.58335,-289.3114286,-475.8903846,-208.736187
1548,50.92593333,-236.6666667,-215.3153846,62.5,61.364,77.08335,-251.6221873,-242.194617,-373.9033333
1551,88.8889,-232.6666667,-114.4894737,78.571,87.879,80.90275,-91.67595459,-200.7855653,-146.4298246
1552,72.22223333,-242,-59.19580983,57.143,69.697,89.5833,-106.7073622,85.04385965,-58.2705314
